web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,542,391,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),4 Adultes,,Camping Le Ried,BOOFZHEIM,,15,camping-le-ried-76938,
,10/04/2023,16/04/2023,23/04/2023,606,434,MOBILHOME 6 personnes - Cosy 3 chambres (I6P3),6 Adultes,,Camping Le Ried,BOOFZHEIM,,15,camping-le-ried-76938,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - 2 chambres (dimanche),4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,249,249,MOBILHOME 6 personnes - 3 chambres (dimanche),4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,207,207,MOBILHOME 6 personnes - Ibie TI,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - PMR IRM,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,229,229,MOBILHOME 6 personnes - EVO29,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,254,254,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,339,203,MOBILHOME 4 personnes - Classic 2 chambres,4 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,429,257,MOBILHOME 4 personnes - Grand Confort,4 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,519,311,MOBILHOME 6 personnes - PRESTA+ 2 chambres 30m² TV + clim,4 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,479,314,MOBILHOME 6 personnes - Grand Confort,6 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,499,327,MOBILHOME 5 personnes - Presta+  (Clim+Tv),4 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,559,367,MOBILHOME 7 personnes - Presta+  (Clim+Tv),6 Adultes,,Camping maeva Club La Mer Blanche,BENODET,,15,camping-maeva-club-la-mer-blanche-76882,
,10/04/2023,16/04/2023,23/04/2023,149,149,TENTE TOILE ET BOIS 4 personnes - Safari,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,15,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 6 personnes - Classique,6 Adultes,,Le Pearl - Camping Paradis,ARGELES,,15,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,10/04/2023,16/04/2023,23/04/2023,239,239,MOBILHOME 4 personnes - Classique,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,15,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,10/04/2023,16/04/2023,23/04/2023,449,449,MOBILHOME 8 personnes - Confort,8 Adultes,,Le Pearl - Camping Paradis,ARGELES,,15,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,10/04/2023,16/04/2023,23/04/2023,355,301,MOBILHOME 4 personnes - Confort - 2 chambres,4 Adultes,,Camping Romanée - Kervilor,LA TRINITE SUR MER,,15,camping-romanee-kervilor-77459,
,10/04/2023,16/04/2023,23/04/2023,490,416,MOBILHOME 6 personnes - Confort - 3 chambres,6 Adultes,,Camping Romanée - Kervilor,LA TRINITE SUR MER,,15,camping-romanee-kervilor-77459,
,10/04/2023,16/04/2023,23/04/2023,747,634,MOBILHOME 6 personnes - PREMIUM 3 chambres,6 Adultes,,Camping Romanée - Kervilor,LA TRINITE SUR MER,,15,camping-romanee-kervilor-77459,
,10/04/2023,16/04/2023,23/04/2023,224,224,MOBILHOME 4 personnes - CONFORT,4 Adultes,,Camping Le Moulin Des Effres,SECONDIGNY,,15,camping-le-moulin-des-effres-77927,
,10/04/2023,16/04/2023,23/04/2023,294,294,MOBILHOME 6 personnes - ESPACE,6 Adultes,,Camping Le Moulin Des Effres,SECONDIGNY,,15,camping-le-moulin-des-effres-77927,
,10/04/2023,16/04/2023,23/04/2023,315,315,CHALET 6 personnes - LODGE ASIAN CLIMATISÉ,6 Adultes,,Camping Le Moulin Des Effres,SECONDIGNY,,15,camping-le-moulin-des-effres-77927,
,10/04/2023,16/04/2023,23/04/2023,355,301,MOBILHOME 4 personnes - CONFORT 2 chambres,4 Adultes,,Camping Romanée - Le Fort Espagnol,CRACH,,15,camping-romanee-le-fort-espagnol-77146,
,10/04/2023,16/04/2023,23/04/2023,490,416,MOBILHOME 6 personnes - CONFORT 3 chambres,6 Adultes,,Camping Romanée - Le Fort Espagnol,CRACH,,15,camping-romanee-le-fort-espagnol-77146,
,10/04/2023,16/04/2023,23/04/2023,526,447,MOBILHOME 4 personnes - PREMIUM 2 chambres,4 Adultes,,Camping Romanée - Le Fort Espagnol,CRACH,,15,camping-romanee-le-fort-espagnol-77146,
