web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,237,237,BUNGALOW 5 personnes - sans sanitaires,Camping du Lac de Moselotte,4 Adultes, 88290 SAULXURES SUR MOSELOTTE,,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,553,553,MOBILHOME 6 personnes,Camping du Lac de Moselotte,6 Adultes, 88290 SAULXURES SUR MOSELOTTE,,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,556,556,CHALET 6 personnes,Camping du Lac de Moselotte,4 Adultes, 88290 SAULXURES SUR MOSELOTTE,,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,425,425,HÉBERGEMENT INSOLITE 4 personnes - CLAYTON  ET MARSHAL,Camping Les Deux Pins,4 Adultes, 88230 ANOULD,,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,425,425,MOBILHOME 4 personnes - SIXTIES 4.5.6,Camping Les Deux Pins,4 Adultes, 88230 ANOULD,,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,440,440,MOBILHOME 4 personnes - SIXTIES 1.2.3,Camping Les Deux Pins,4 Adultes, 88230 ANOULD,,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,440,440,CHALET 4 personnes - BUFFORD ESTWOOD SEAMUS,Camping Les Deux Pins,2 Adultes, 88230 ANOULD,,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,450,450,MOBILHOME 5 personnes - VINTAGE,Camping Les Deux Pins,5 Adultes, 88230 ANOULD,,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,495.50,495.50,TENTE TOILE ET BOIS 4 personnes - Coco Luxe J,Camping Parc Du Chateau,4 Adultes, 88000 EPINAL,,,18,camping-parc-du-chateau-79740,
,01/05/2023,07/05/2023,14/05/2023,747.50,747.50,MOBILHOME 6 personnes - JONQUILLE,Camping Parc Du Chateau,6 Adultes, 88000 EPINAL,,,18,camping-parc-du-chateau-79740,
,01/05/2023,07/05/2023,14/05/2023,656.65,656.65,MOBILHOME 4 personnes - Standard,Flower Camping La Steniole,4 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,665.85,665.85,MOBILHOME 4 personnes - PMR Confort 36m² 2 chambres avec terrasse,Flower Camping La Steniole,4 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,681.95,681.95,MOBILHOME 4 personnes - Confort,Flower Camping La Steniole,2 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,716.45,716.45,MOBILHOME 4 personnes - Confort,Flower Camping La Steniole,2 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
